Description, filename, source
Life expectancy at birth, lex.csv, http://gapm.io/dlex
Child mortality (0-5 year-olds dying per 1000 born), cm.csv, https://www.gapminder.org/data/documentation/gd005/
GDP per capita (price and inflation adjusted, in PPP$2021), gdp.csv, https://www.gapminder.org/data/documentation/gd001/
Population, pop.csv, https://www.gapminder.org/data/documentation/gd003/
Babies per woman (total fertility rate), tfr.csv, https://www.gapminder.org/data/documentation/gd008/
Geography, geo.csv, https://www.gapminder.org/data/geo/



